     Input  Canonical    Reduced
    GCzvnw     GBfn^s     GBfn^s -C-R- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (6, 7)]
    GCzvn{     GENn^{      FENnw -C-_- [(0, 3), (0, 5), (0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCzvrw     G@z^vg     G@z^vg -C-R- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7)]
    GCzvvs     GFo~^[      FFdnW -C-_- [(0, 3), (0, 4), (0, 6), (0, 7), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCzvvw     GFN^V[     GFN^V[ -C-R- [(0, 3), (0, 5), (0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (3, 5), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCzvv{     GFdn^{     GFdn^{ -C-R- [(0, 3), (0, 4), (0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCzv~{     GENn~{      FENnw -C-_- [(0, 3), (0, 5), (0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GCz~r{     G@z^~w     G@z^~w -C-R- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GCz~u{     G@t~~w     G@t~~w -C-R- [(0, 4), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GCz~v[     GC\~~w      F@v~o -C-_- [(0, 3), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GCz~vk     GC^v~w     GC^v~w -C-R- [(0, 3), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    GCz~vw     G@~^nk      F@v~o -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (5, 6), (5, 7), (6, 7)]
    GCz~v{     G@v~v{     G@v~v{ -C-R- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    GCz~~{     GC^~~{       EC^w -C-_- [(0, 3), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~vb[     G@r~vo      FFzbw -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]
    GC~vc{     G@N~vo       E]ow -C-_- [(0, 5), (0, 6), (0, 7), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]
    GC~ve[     GAN~vo     GAN~vo -C-R- [(0, 5), (0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]
    GC~vew     GYK}}w      FbmrW -C-_- [(0, 2), (0, 6), (0, 7), (1, 2), (1, 3), (1, 6), (1, 7), (2, 4), (2, 5), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GC~ve{     G@~vb{      FFzbw -C-_- [(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    GC~vfW     GFo~^W     GFo~^W -C-R- [(0, 3), (0, 4), (0, 6), (0, 7), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 5), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GC~vf[     GFzcz{     GFzcz{ -C-R- [(0, 3), (0, 4), (0, 5), (0, 6), (1, 3), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~vfo     GrXk{{       E]ow -C-_- [(0, 1), (0, 2), (0, 6), (0, 7), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~vfw     GrY[z{      FFzbw -C-_- [(0, 1), (0, 2), (0, 5), (0, 6), (1, 3), (1, 4), (1, 7), (2, 3), (2, 4), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~vf{     G@~vf{      F]o~w -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 7), (5, 7), (6, 7)]
    GC~vvs     GXN]}{        DFw -C-_- [(0, 2), (0, 5), (0, 6), (0, 7), (1, 2), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~vvw     G@~vvk      FFzvW -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 6), (5, 7), (6, 7)]
    GC~vv{     G@~vn{       EFzw -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~v~w     G@~~vk      FF~vW -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GC~v~{     G@~v~{       EFzw -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GC~~~{     G@~~~{         CF -C-_- [(0, 4), (0, 5), (0, 6), (0, 7), (1, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbro     G?l|bc     G?l|bc -C-R- [(0, 4), (0, 6), (1, 5), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (6, 7)]
    GEhbrs     GR`Hx{      FR`Hw -C-_- [(0, 2), (0, 4), (1, 3), (1, 5), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbtg     G`hkqk     G`hkqk -C-R- [(0, 1), (0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 4), (2, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GEhbtk     G`YTY{     G`YTY{ -C-R- [(0, 1), (0, 5), (0, 6), (1, 4), (1, 7), (2, 3), (2, 4), (2, 6), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbuk     GR`MX{     GR`MX{ -C-R- [(0, 2), (0, 4), (0, 6), (1, 3), (1, 5), (1, 6), (2, 3), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbus     GRQIx{     GRQIx{ -C-R- [(0, 2), (0, 5), (1, 3), (1, 4), (1, 6), (2, 3), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbvc     GIeax{     GIeax{ -C-R- [(0, 4), (0, 5), (1, 2), (1, 3), (1, 6), (2, 5), (2, 7), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbvg     GSS}b[     GSS}b[ -C-R- [(0, 2), (0, 3), (0, 6), (1, 4), (1, 6), (1, 7), (2, 5), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    GEhbvk     GQNCz{     GQNCz{ -C-R- [(0, 2), (0, 5), (0, 6), (1, 3), (1, 5), (1, 7), (2, 4), (2, 7), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbvo     GDhrQ{     GDhrQ{ -C-R- [(0, 3), (0, 4), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    GEhbvs     GSXPz{     GSXPz{ -C-R- [(0, 2), (0, 3), (1, 4), (1, 5), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbvw     GD]bM{     GD]bM{ -C-R- [(0, 3), (0, 5), (0, 7), (1, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 7), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhbv{     GR`H~{     GR`H~{ -C-R- [(0, 2), (0, 4), (0, 7), (1, 3), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEherW     G`qipk     G`qipk -C-R- [(0, 1), (0, 4), (0, 5), (1, 4), (1, 6), (2, 3), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GEher[     G`hUX{     G`hUX{ -C-R- [(0, 1), (0, 4), (0, 6), (1, 5), (1, 6), (2, 3), (2, 4), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEherk     GR`LY{     GR`LY{ -C-R- [(0, 2), (0, 4), (0, 6), (1, 3), (1, 5), (1, 7), (2, 3), (2, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhets     GoSqx{     GoSqx{ -C-R- [(0, 1), (0, 2), (1, 4), (1, 6), (2, 5), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEheuo     G_K|rg     G_K|rg -C-R- [(0, 1), (0, 6), (1, 7), (2, 4), (2, 5), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7)]
    GEheus     G`hPx{      F`hPw -C-_- [(0, 1), (0, 4), (1, 5), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevK     GBqeX{     GBqeX{ -C-R- [(0, 4), (0, 5), (0, 6), (1, 3), (1, 4), (1, 6), (2, 3), (2, 5), (2, 7), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevS     GQNAx{     GQNAx{ -C-R- [(0, 2), (0, 5), (1, 3), (1, 5), (1, 6), (2, 4), (2, 7), (3, 4), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevW     GKU\b[     GKU\b[ -C-R- [(0, 3), (0, 5), (0, 6), (1, 2), (1, 4), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 7), (6, 7)]
    GEhev[     GHqSz{     GHqSz{ -C-R- [(0, 4), (0, 5), (0, 6), (1, 2), (1, 4), (1, 7), (2, 3), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevg     G[S[j[     G[S[j[ -C-R- [(0, 2), (0, 3), (0, 6), (1, 2), (1, 4), (1, 7), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevk     GYEKz{     GYEKz{ -C-R- [(0, 2), (0, 5), (0, 6), (1, 2), (1, 3), (1, 7), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevo     GdKjI{     GdKjI{ -C-R- [(0, 1), (0, 3), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevs     GpDHz{     GpDHz{ -C-R- [(0, 1), (0, 2), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhevw     G`MrU{     G`MrU{ -C-R- [(0, 1), (0, 5), (0, 7), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 6), (4, 7), (5, 7), (6, 7)]
    GEhev{     G`hP~{     G`hP~{ -C-R- [(0, 1), (0, 4), (0, 7), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhf`w     G`Xksk     G`Xksk -C-R- [(0, 1), (0, 6), (0, 7), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GEhf`{     G`hTY{     G`hTY{ -C-R- [(0, 1), (0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfc{     GR`Kz[     GR`Kz[ -C-R- [(0, 2), (0, 4), (0, 6), (1, 3), (1, 5), (1, 7), (2, 3), (2, 7), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfdW     GBrLPk     GBrLPk -C-R- [(0, 4), (0, 5), (0, 6), (1, 3), (1, 4), (1, 5), (2, 3), (2, 6), (2, 7), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GEhfdw     GS\Sj[     GS\Sj[ -C-R- [(0, 2), (0, 3), (0, 6), (1, 4), (1, 5), (1, 7), (2, 4), (2, 7), (3, 4), (3, 5), (3, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfd{     GRQKz{     GRQKz{ -C-R- [(0, 2), (0, 5), (0, 6), (1, 3), (1, 4), (1, 7), (2, 3), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfeW     GBZLSk     GBZLSk -C-R- [(0, 5), (0, 6), (0, 7), (1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GEhfe[     GBqb[{     GBqb[{ -C-R- [(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (1, 6), (2, 3), (2, 5), (2, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfes     GYEIx{     GYEIx{ -C-R- [(0, 2), (0, 5), (1, 2), (1, 3), (1, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfew     GsDXr[     GsDXr[ -C-R- [(0, 1), (0, 2), (0, 3), (1, 5), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 7), (6, 7)]
    GEhfe{     GqG[z{     GqG[z{ -C-R- [(0, 1), (0, 2), (0, 6), (1, 3), (1, 7), (2, 4), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhffO     GAH}to     GAH}to -C-R- [(0, 6), (0, 7), (1, 3), (1, 5), (1, 6), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]
    GEhffS     GBqax{     GBqax{ -C-R- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 6), (2, 3), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhffW     GC^Tb[     GC^Tb[ -C-R- [(0, 3), (0, 5), (0, 6), (1, 4), (1, 5), (1, 7), (2, 4), (2, 6), (2, 7), (3, 4), (3, 5), (3, 6), (4, 7), (5, 7), (6, 7)]
    GEhff[     GBqcz{     GBqcz{ -C-R- [(0, 4), (0, 5), (0, 6), (1, 3), (1, 4), (1, 7), (2, 3), (2, 5), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhffc     GDZ@x{      FDZ@w -C-_- [(0, 3), (0, 5), (1, 4), (1, 5), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhffo     G@lvA{     G@lvA{ -C-R- [(0, 4), (0, 6), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    GEhffs     GDZ@z{     GDZ@z{ -C-R- [(0, 3), (0, 5), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhffw     G@lvE{     G@lvE{ -C-R- [(0, 4), (0, 6), (0, 7), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 7), (4, 7), (5, 7), (6, 7)]
    GEhff{     GDZ@~{     GDZ@~{ -C-R- [(0, 3), (0, 5), (0, 7), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfrw     GR`Lzw     GR`Lzw -C-R- [(0, 2), (0, 4), (0, 6), (1, 3), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GEhfr{     GR`Lz{     GR`Lz{ -C-R- [(0, 2), (0, 4), (0, 6), (1, 3), (1, 5), (1, 7), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfuw     G`hTzw     G`hTzw -C-R- [(0, 1), (0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    GEhfu{     G`hTz{     G`hTz{ -C-R- [(0, 1), (0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfvg     GDZDzw     GDZDzw -C-R- [(0, 3), (0, 5), (0, 6), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    GEhfvk     GDZDz{     GDZDz{ -C-R- [(0, 3), (0, 5), (0, 6), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfvo     GBqbzw     GBqbzw -C-R- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    GEhfvs     GBqbz{      FBqbw -C-_- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhfvw     GBqb~w     GBqb~w -C-R- [(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    GEhfv{     GBqb~{     GBqb~{ -C-R- [(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhf~w     GqG^~w     GqG^~w -C-R- [(0, 1), (0, 2), (0, 6), (0, 7), (1, 3), (1, 6), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7)]
    GEhf~{     GqG^~{      FqG^w -C-_- [(0, 1), (0, 2), (0, 6), (0, 7), (1, 3), (1, 6), (1, 7), (2, 4), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrp{     GPSzm[     GPSzm[ -C-R- [(0, 2), (0, 7), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrq{     GBqpz[     GBqpz[ -C-R- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrr[     GBqrZs     GBqrZs -C-R- [(0, 4), (0, 5), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 5), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GEhrrk     G`Ypy{     G`Ypy{ -C-R- [(0, 1), (0, 5), (1, 4), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrrs     GROx}[      FBplg -C-_- [(0, 2), (0, 7), (1, 3), (1, 4), (1, 7), (2, 3), (2, 5), (2, 6), (3, 5), (3, 6), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrr{     GBplj{     GBplj{ -C-R- [(0, 4), (0, 6), (1, 3), (1, 4), (1, 5), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrs{     GBi]j[     GBi]j[ -C-R- [(0, 4), (0, 5), (0, 6), (1, 3), (1, 6), (1, 7), (2, 3), (2, 4), (2, 7), (3, 5), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrt[     GDZLrk     GDZLrk -C-R- [(0, 3), (0, 5), (0, 6), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (5, 7), (6, 7)]
    GEhrtk     GIc}l[     GIc}l[ -C-R- [(0, 4), (0, 6), (0, 7), (1, 2), (1, 3), (1, 6), (2, 5), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrts     GHd[~K     GHd[~K -C-R- [(0, 4), (0, 6), (0, 7), (1, 2), (1, 5), (1, 7), (2, 3), (2, 7), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    GEhrt{     GDYmj{     GDYmj{ -C-R- [(0, 3), (0, 5), (0, 6), (1, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhru[     GD^DZk     GD^DZk -C-R- [(0, 3), (0, 5), (0, 6), (1, 4), (1, 5), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (3, 7), (4, 6), (5, 6), (5, 7), (6, 7)]
    GEhru{     GDqjj{     GDqjj{ -C-R- [(0, 3), (0, 4), (0, 5), (1, 4), (1, 6), (1, 7), (2, 3), (2, 5), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrvK     G`hszs     G`hszs -C-R- [(0, 1), (0, 4), (0, 6), (1, 5), (1, 7), (2, 3), (2, 4), (2, 5), (2, 7), (3, 5), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    GEhrvW     GZLMK{     GZLMK{ -C-R- [(0, 2), (0, 6), (0, 7), (1, 2), (1, 3), (1, 5), (1, 6), (2, 3), (2, 4), (3, 4), (3, 7), (4, 5), (4, 7), (5, 6), (5, 7), (6, 7)]
    GEhrv[     GjII|{     GjII|{ -C-R- [(0, 1), (0, 5), (0, 7), (1, 2), (1, 3), (1, 6), (2, 3), (2, 4), (2, 7), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
