     Input  Canonical    Reduced
    G?ABvG     G@?@}W      F?AZo -C-_- [(0, 7), (1, 7), (2, 3), (2, 6), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABvK     G@?@}[      F?AZw -C-_- [(0, 7), (1, 7), (2, 3), (2, 6), (3, 6), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABv_     G?A@zo     G?A@zo -C-R- [(0, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6)]
    G?ABvc     G?A@zs     G?A@zs -C-R- [(0, 5), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (6, 7)]
    G?ABvg     GG?Czw      F?Azo -C-_- [(0, 6), (1, 2), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABvk     GG?Cz{      F?Azw -C-_- [(0, 6), (1, 2), (1, 7), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABvo     G_?@zw     G_?@zw -C-R- [(0, 1), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABvs     G_?@z{     G_?@z{ -C-R- [(0, 1), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ABvw     G_?@~w      F?@~o -C-_- [(0, 1), (0, 7), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7)]
    G?ABv{     G_?@~{      F?@~w -C-_- [(0, 1), (0, 7), (1, 7), (2, 6), (2, 7), (3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?ACNo     G??G^c      F?ABw -C-_- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 6), (6, 7)]
    G?ACNw     G??G^k      F?ABw -C-_- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (5, 6), (5, 7), (6, 7)]
    G?ACN{     G??G^{       E?Bw -C-_- [(0, 7), (1, 7), (2, 7), (3, 7), (4, 5), (4, 6), (4, 7), (5, 6), (5, 7), (6, 7)]
    G?AEBo     G?_GJc     G?_GJc -C-R- [(0, 4), (1, 7), (2, 7), (3, 7), (4, 5), (5, 6), (6, 7)]
